Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/upload,2602,1349,19000.0,20772.308124159306,7.126118987798691,59371.498848777264,301.1491160645657,48.11468853941149,24.94493268242356,19000,30000,30000,30000,30000,30000,34000,34000,58000,59000,59000
,Aggregated,2602,1349,19000.0,20772.308124159306,7.126118987798691,59371.498848777264,301.1491160645657,48.11468853941149,24.94493268242356,19000,30000,30000,30000,30000,30000,34000,34000,58000,59000,59000
